user,item,rating
Alex,7443,4
Robyn,7443,4
tasha,7443,4
Kim,7443,2
Elissa,7443,4
Yvette,7443,4
Allyson,7443,5
krista,7443,5
Lina,7443,5
Monica,7443,5
Tia,7443,4
Mindy,11960,5
Talia,11960,5
Nichole,11960,5
Jacqueline,11960,5
Danica,11960,5
Emmy,11960,5
Victoria,11960,5
Bethany,7443,5
Kelsey,11960,5
Kirstin,7443,5
Shanna,7443,2
Cassandra,7443,4
Julianna,7443,5
Nina,7443,5
Candice,16411,4
Paige,16411,5
Haley,16411,5
Shawna,11960,5
Tahlia,7443,4
Alice,11960,4
Rose,11960,2
Pauline,16411,5
A.,11960,5
Tori,7443,4
Audrey,11960,2
Beth,7443,4
Krissy,11960,5
Theresa,11960,4
stephanie,11960,3
Sue,11960,1
Claire,11960,5
Vivian,11960,4
Elisa,16411,5
kimberly,7443,4
Bonnie,11960,5
alicia,11960,4
Alexis,11960,4
tasha,16411,3
Mona,16411,2
Mackenzie,11960,2
Carolina,16411,5
Renata,11960,5
Addie,16411,3
sophia,7443,5
Stacey,11960,2
Mona,7443,3
Jessie,7443,5
Devon,11960,5
Modcloth,16411,5
Cara,11960,5
Cecilia,16411,4
cheryl,16411,5
Kelsie,11960,2
Johanna,16411,5
Natalia,11960,4
Catherine,11960,5
erika,16411,4
whit,11960,4
Cornelia,16411,5
Jordan,11960,5
L,16411,4
Ellen,11960,5
bookyeti,7443,4
erin,7443,1
Joanna,16411,5
Shelby,11960,3
Brenda,11960,5
Giselle,16411,5
Tressa,16411,4
Susanne,11960,5
Carina,16411,5
Leanne,16411,3
Carisa,16411,4
India,16411,2
Cherie,16411,3
Roxanne,11960,5
Bree,7443,3
nicole,16411,3
V,11960,5
Jess,11960,4
Ray,11960,5
angela,16411,3
Gwen,16411,4
Thea,7443,3
vlgclx79,16411,5
Abby,11960,5
kelly,16411,5
GracieLou,16411,5
Tessa,11960,4
shauna,16411,4
Miriam,16411,4
Priscilla,16411,2
Genevieve,16411,4
Taylor,7443,4
Nancy,11960,4
Rachelle,16411,5
Gabby,7443,5
Noelle,11960,5
Shanna,11960,5
Charlotte,7443,3
Bonnie,16411,5
Tabitha,7443,3
Rochelle,16411,3
Audra,16411,5
A,16411,5
Christen,11960,5
Katrina,11960,3
Hollie,16411,5
Katelyn,16411,4
Jazmin,11960,2
Brandi,21296,5
April,16411,5
Kristine,16411,5
Karen,16411,5
Angie,16411,5
Allyson,11960,5
Meghan,22563,5
Molly,16411,4
Lora,7443,4
Michelle,11960,5
Margie,7443,4
Brooke,11960,4
Momo,21296,5
Jennie,24853,5
Elena,24853,5
Kimberly,11960,5
Jackie,21296,5
Allison,24853,2
Nikki,21296,5
ellen,21296,5
Deanna,16411,2
Mindy,16411,4
Anita,11960,2
Joyce,16411,5
Andie,11960,4
Sarita,21296,5
Lesley,24853,5
rachel,11960,4
Jolene,16411,5
anne,11960,2
heather,11960,4
Rachele,11960,5
Sabrina,16411,5
Manon,24853,4
Jill,24853,4
Maggie,16411,4
Kendall,16411,5
Liana,21296,5
Ragon,16411,4
Charlotte,11960,5
Jane,11960,4
Hilary,11960,5
Peggy,11960,5
Chelsea,7443,4
Leighann,7443,3
Rene,16411,5
catherine,7443,4
Jody,16411,2
Jessie,27590,5
Elisa,7443,4
Jordan,7443,4
Marion,28967,5
Noelle,7443,4
Iris,27590,5
Sabrina,7443,5
Elissa,16411,3
Corinne,21296,5
Faith,7443,4
Brandy,7443,5
Gwen,21296,5
