user,item,rating
81,3,5.0
131,7,4.0
139,3,3.0
233,14,5.0
269,14,5.0
269,15,5.0
369,1,4.0
385,14,4.0
432,14,5.0
516,46,2.0
603,41,5.0
627,46,4.0
683,3,1.0
707,49,5.0
840,7,5.0
868,14,4.0
1081,77,4.0
1115,59,5.0
1136,3,5.0
1140,75,5.0
1147,73,5.0
1156,81,5.0
1168,81,5.0
1188,81,5.0
1188,80,4.0
1205,75,4.0
1225,81,5.0
1225,83,2.0
1236,73,5.0
1156,83,5.0
1304,75,5.0
1313,81,5.0
1329,73,5.0
1383,17,5.0
1401,95,5.0
1443,83,5.0
1464,81,4.0
1489,83,1.0
1559,95,4.0
1610,97,4.0
1670,92,5.0
1680,81,3.0
1688,73,5.0
1723,97,5.0
1755,73,5.0
1763,124,3.0
1764,121,2.0
1732,81,5.0
1732,3,4.0
1852,102,5.0
1156,103,4.0
1858,103,5.0
1863,83,1.0
1940,133,5.0
1732,80,5.0
1764,139,3.0
2180,121,1.0
2206,143,5.0
2218,140,5.0
2221,143,4.0
2293,110,5.0
2302,155,4.0
2313,146,4.0
2381,146,5.0
2386,139,4.0
2418,146,5.0
2507,133,4.0
991,65,2.0
2522,148,4.0
2563,167,5.0
2572,157,5.0
2580,143,5.0
2604,81,2.0
2620,92,5.0
269,175,5.0
2650,81,1.0
2669,145,5.0
2721,143,3.0
2726,142,5.0
2770,145,5.0
2802,142,4.0
2809,167,5.0
2817,177,4.0
2820,155,2.0
2928,172,5.0
2956,157,5.0
2989,145,4.0
2992,145,5.0
3013,178,1.0
3021,168,4.0
3040,140,5.0
3049,195,3.0
3061,179,3.0
3073,172,5.0
3101,143,5.0
3127,143,4.0
3128,187,5.0
3184,181,1.0
2721,167,5.0
3209,167,5.0
3280,80,5.0
3300,167,5.0
1383,143,5.0
3404,2,5.0
3420,219,5.0
3435,220,5.0
3443,222,5.0
3465,167,5.0
3481,219,4.0
3504,228,5.0
3511,220,4.0
3576,181,4.0
3581,178,1.0
3590,167,5.0
3611,177,4.0
3613,146,4.0
3633,49,5.0
3663,220,5.0
3715,95,4.0
3723,80,5.0
3734,205,5.0
3789,146,5.0
3839,139,4.0
3869,2,5.0
3997,187,2.0
4022,219,5.0
4025,195,3.0
4037,142,2.0
4104,255,5.0
4204,256,5.0
4278,176,5.0
4284,232,4.0
4354,263,4.0
4384,143,1.0
4432,81,5.0
4432,83,5.0
4449,154,5.0
4464,145,3.0
4473,143,4.0
4483,219,3.0
4494,237,5.0
3435,2,4.0
4650,262,4.0
4664,252,4.0
4715,262,4.0
4767,2,5.0
4778,179,5.0
4808,217,5.0
4838,252,4.0
4853,175,5.0
4891,284,5.0
2381,220,5.0
4932,154,5.0
4932,264,4.0
1329,220,4.0
4992,146,5.0
5002,250,5.0
5029,266,1.0
5137,189,3.0
5156,289,2.0
5172,80,3.0
5182,145,4.0
5183,255,3.0
5187,252,4.0
5260,239,5.0
5301,252,4.0
5309,299,5.0
5334,239,5.0
5353,269,3.0
5354,154,5.0
5400,217,5.0
5434,220,4.0
5451,65,3.0
4650,237,5.0
5503,217,5.0
5504,157,1.0
5506,236,4.0
5512,223,1.0
5516,261,5.0
5547,234,5.0
5596,217,4.0
5635,2,5.0
5687,314,4.0
5696,250,5.0
5724,284,5.0
5156,252,4.0
5798,238,4.0
2300,314,2.0
2300,316,2.0
5857,104,4.0
5929,223,3.0
4022,296,5.0
5945,245,5.0
5958,256,4.0
5976,179,5.0
6005,80,5.0
4808,259,5.0
6060,189,3.0
6069,239,4.0
6071,296,4.0
6110,2,4.0
6151,234,1.0
6196,168,4.0
6240,255,2.0
6313,77,5.0
4650,145,5.0
6360,314,5.0
6382,281,4.0
6442,220,5.0
6448,266,5.0
6449,217,5.0
3482,43,5.0
6454,314,5.0
6493,104,3.0
6495,83,5.0
6584,269,5.0
6632,250,4.0
6735,239,5.0
6759,220,5.0
6776,298,5.0
6780,236,2.0
6846,296,5.0
6849,274,4.0
6874,97,4.0
6910,369,5.0
6919,324,4.0
6935,220,5.0
6938,267,1.0
6962,314,4.0
3481,374,5.0
3481,372,5.0
7000,338,4.0
7003,314,4.0
7036,73,2.0
7118,302,5.0
7217,358,1.0
7242,324,5.0
7259,261,4.0
7337,390,5.0
7342,338,1.0
6240,313,5.0
7405,372,5.0
7407,142,1.0
7408,324,4.0
7429,259,5.0
7441,393,4.0
7469,77,4.0
7528,370,5.0
7605,314,4.0
7644,346,4.0
7645,346,1.0
7669,267,5.0
7677,121,5.0
7684,393,4.0
7694,15,5.0
7695,316,3.0
5137,178,5.0
7838,420,2.0
7872,330,2.0
7878,393,5.0
7881,426,5.0
7898,374,5.0
8051,428,5.0
8057,316,4.0
8126,219,1.0
8168,296,5.0
8256,187,5.0
8384,239,4.0
8387,371,5.0
8416,142,5.0
8469,381,5.0
8472,326,4.0
8486,393,4.0
8490,358,4.0
8539,374,5.0
8547,426,5.0
8587,121,1.0
8639,283,4.0
5029,337,5.0
8768,80,1.0
8825,385,5.0
8842,393,4.0
8869,460,4.0
8935,283,5.0
6382,466,4.0
9075,283,5.0
9092,283,5.0
9186,467,5.0
9207,378,5.0
9208,385,4.0
9210,310,4.0
9224,242,3.0
9258,459,5.0
9272,283,5.0
9350,283,5.0
9447,314,4.0
9507,445,5.0
9537,405,5.0
9554,81,4.0
9556,470,4.0
9565,485,5.0
9590,385,5.0
9600,296,5.0
2989,283,5.0
9631,104,5.0
9689,449,5.0
9695,393,5.0
9730,487,5.0
3715,220,5.0
9739,298,4.0
9775,476,5.0
9744,339,5.0
9744,494,5.0
9744,358,5.0
9802,457,1.0
9846,283,4.0
9914,142,4.0
9941,372,4.0
9953,381,3.0
9966,370,5.0
9988,426,5.0
10071,494,4.0
10198,266,2.0
3420,328,5.0
10254,111,5.0
10260,283,5.0
10310,220,5.0
10331,512,2.0
10373,387,5.0
10431,146,4.0
1304,259,2.0
10599,510,5.0
10611,81,5.0
10639,485,4.0
6313,283,5.0
10708,515,5.0
7242,296,5.0
10727,283,4.0
10764,314,5.0
10773,296,5.0
10776,339,4.0
10794,337,3.0
10776,482,4.0
10804,283,5.0
10810,517,5.0
10820,457,5.0
10829,283,4.0
10862,443,4.0
10866,374,5.0
10874,296,5.0
10882,220,5.0
10893,387,5.0
10956,520,5.0
11031,303,5.0
11039,381,5.0
11063,482,5.0
11098,283,5.0
11119,387,2.0
11172,176,5.0
11226,313,2.0
11271,283,4.0
11276,301,5.0
1489,271,2.0
11320,283,5.0
11365,283,4.0
11394,283,5.0
11470,102,1.0
1147,340,5.0
11517,522,4.0
11581,485,5.0
11643,283,3.0
11664,259,5.0
11693,166,1.0
11730,283,4.0
11766,59,1.0
11799,485,4.0
11801,283,5.0
11840,220,5.0
11920,492,4.0
11939,569,5.0
9207,511,5.0
2507,283,5.0
11964,380,4.0
11993,231,2.0
12004,457,5.0
12045,80,4.0
12048,465,5.0
12101,283,3.0
12133,457,5.0
12156,104,4.0
12164,370,5.0
12243,283,4.0
12262,387,5.0
12269,445,5.0
10254,181,2.0
12290,269,5.0
12317,515,4.0
12326,2,5.0
12393,515,4.0
12402,283,5.0
3939,430,4.0
12501,283,5.0
12530,485,5.0
12553,111,5.0
12579,283,5.0
2928,569,3.0
3481,457,5.0
12598,370,3.0
12618,476,5.0
8547,296,5.0
12630,327,5.0
12636,156,5.0
12690,426,5.0
12806,569,4.0
12815,598,5.0
12844,121,4.0
12861,283,4.0
12894,154,5.0
12932,326,5.0
12974,387,5.0
12987,457,1.0
13000,43,5.0
13077,569,4.0
7605,569,5.0
13084,179,4.0
13098,296,4.0
12553,236,3.0
13193,283,3.0
13275,511,4.0
13292,220,5.0
13332,372,4.0
13336,328,5.0
13360,274,5.0
13366,283,3.0
13424,258,4.0
13473,457,3.0
13478,569,5.0
13492,387,5.0
13501,263,5.0
13528,283,4.0
13534,476,5.0
13543,494,4.0
13603,104,4.0
13622,121,5.0
13662,458,5.0
13672,583,4.0
13721,476,5.0
13746,517,3.0
13749,465,3.0
13761,449,5.0
13790,485,4.0
13814,313,2.0
13818,264,4.0
13903,121,4.0
13929,346,1.0
13937,485,5.0
13998,511,3.0
14080,449,5.0
14173,527,5.0
14195,645,5.0
14226,110,5.0
14257,487,4.0
14302,420,4.0
14322,387,5.0
14391,449,5.0
14422,283,5.0
14466,313,4.0
14469,236,5.0
14466,338,3.0
28,651,4.0
14500,457,1.0
14532,333,5.0
14544,289,5.0
14548,485,5.0
14575,142,5.0
4483,310,5.0
14717,136,4.0
14880,392,5.0
14892,518,5.0
14907,465,3.0
14919,485,3.0
14984,142,2.0
4778,511,5.0
15059,261,1.0
15134,517,5.0
15170,459,5.0
15188,302,5.0
5301,79,5.0
15224,460,2.0
15225,451,3.0
15225,671,5.0
15225,672,2.0
15224,296,5.0
15264,274,4.0
15266,283,5.0
15360,220,5.0
15368,492,5.0
15426,370,1.0
15490,337,5.0
15625,651,3.0
15711,498,5.0
3997,449,4.0
15730,289,4.0
15738,328,5.0
15746,525,5.0
15786,458,1.0
15797,689,5.0
13424,468,5.0
15844,501,4.0
15868,517,5.0
15928,465,5.0
15972,370,4.0
15988,652,5.0
16054,159,4.0
16076,534,4.0
16202,307,4.0
16213,698,4.0
16250,283,5.0
15730,569,3.0
16299,530,5.0
16370,673,5.0
10727,569,3.0
16399,111,4.0
16399,283,5.0
16469,220,5.0
11825,419,5.0
16476,651,1.0
16528,623,4.0
16532,337,5.0
15170,485,5.0
16657,485,4.0
16708,283,5.0
9186,511,4.0
16724,392,4.0
16755,289,4.0
16771,515,5.0
16822,419,3.0
16871,710,5.0
16887,283,4.0
16903,476,5.0
16917,142,5.0
16927,269,2.0
16987,340,4.0
16993,569,5.0
16994,457,5.0
17043,518,5.0
17108,564,5.0
17119,514,3.0
11517,679,3.0
17171,669,5.0
17194,553,5.0
17231,647,5.0
17235,652,4.0
11840,271,3.0
6005,675,4.0
17284,511,5.0
17314,142,4.0
17322,705,5.0
17373,457,2.0
17381,710,5.0
17428,547,4.0
13998,710,5.0
17496,605,4.0
17579,142,5.0
5696,710,5.0
3939,328,3.0
17695,517,5.0
17707,725,4.0
17713,438,5.0
17727,220,5.0
17739,337,4.0
4934,714,4.0
17742,714,4.0
5354,714,5.0
16724,705,5.0
3939,714,5.0
17795,283,3.0
17858,237,5.0
17913,269,5.0
17926,457,5.0
17940,569,5.0
17990,714,4.0
18111,669,5.0
18123,80,5.0
3939,17,5.0
2604,645,1.0
1156,714,5.0
18193,468,4.0
18198,463,4.0
18202,736,5.0
18272,366,1.0
18285,574,2.0
12636,668,5.0
18309,561,5.0
8490,714,3.0
18324,714,2.0
18353,714,4.0
18367,220,5.0
18390,714,5.0
18427,561,5.0
4778,710,5.0
18449,710,5.0
18461,457,5.0
3734,746,5.0
18520,673,5.0
18538,43,2.0
18543,271,2.0
18544,714,5.0
18569,746,4.0
18604,725,3.0
18649,476,5.0
18650,457,5.0
11964,405,1.0
18678,283,4.0
18702,715,5.0
18709,746,4.0
18718,485,3.0
18709,219,5.0
18788,759,5.0
18709,725,4.0
18814,511,5.0
18878,457,2.0
16476,43,5.0
18890,746,4.0
18908,746,4.0
18878,679,5.0
17940,792,5.0
11939,714,5.0
19049,366,5.0
4483,714,4.0
19055,714,5.0
19067,468,5.0
19079,283,4.0
19080,283,5.0
19087,714,5.0
19111,2,5.0
9600,327,5.0
19195,714,5.0
6449,728,4.0
19217,667,2.0
19236,698,4.0
19248,283,4.0
19275,714,5.0
19306,283,4.0
19316,714,5.0
19335,340,3.0
19446,338,5.0
4934,647,5.0
11581,807,5.0
19488,683,4.0
19522,647,5.0
19539,746,5.0
19587,571,2.0
19614,283,5.0
19628,283,5.0
7242,283,4.0
19632,380,2.0
19640,793,1.0
19673,793,2.0
19719,736,3.0
19783,310,1.0
19794,793,2.0
19817,553,4.0
19824,557,4.0
19851,549,5.0
19855,749,4.0
19891,705,3.0
19855,142,5.0
5434,714,4.0
19945,641,5.0
19947,725,3.0
19948,679,5.0
19947,814,3.0
5334,271,4.0
19992,775,5.0
20035,548,4.0
20085,498,1.0
20112,819,3.0
5451,710,5.0
3939,819,5.0
20200,749,5.0
20272,679,1.0
20275,819,4.0
20294,296,5.0
20310,2,5.0
9447,819,4.0
20345,819,4.0
3511,371,5.0
20356,819,5.0
20365,714,4.0
6313,669,5.0
20412,819,4.0
707,740,5.0
20457,819,5.0
20467,819,4.0
20475,816,5.0
20494,350,4.0
20515,457,5.0
20537,763,3.0
2669,569,3.0
20572,714,4.0
20607,283,3.0
20645,457,4.0
20674,584,4.0
20683,569,1.0
20693,819,2.0
20700,819,4.0
20736,714,5.0
20779,283,5.0
20787,679,5.0
20787,694,5.0
13937,426,5.0
20888,366,5.0
20898,736,4.0
5002,645,2.0
10310,399,5.0
20948,714,3.0
21022,663,5.0
21054,663,5.0
21123,540,5.0
21145,571,5.0
21224,463,5.0
21276,714,5.0
15797,663,5.0
21301,283,4.0
21327,338,1.0
21366,792,5.0
21409,714,5.0
21410,749,2.0
21485,854,4.0
21503,81,4.0
21504,307,5.0
21507,428,5.0
13424,80,5.0
21515,2,5.0
19640,854,5.0
7605,828,5.0
21560,679,5.0
21575,729,5.0
21585,449,4.0
21588,457,2.0
21622,739,4.0
4022,652,5.0
21638,463,4.0
21644,673,5.0
28,840,5.0
21680,828,5.0
21686,443,3.0
14984,859,4.0
21788,740,3.0
21822,864,4.0
21888,354,5.0
1670,698,5.0
21998,328,4.0
22002,854,5.0
22073,438,4.0
22076,615,1.0
22097,641,2.0
1670,220,5.0
10794,729,5.0
2669,289,3.0
22181,821,5.0
22205,289,5.0
22214,714,5.0
22228,43,4.0
13790,371,5.0
22237,514,5.0
22248,656,5.0
22251,656,5.0
22279,663,5.0
22228,759,5.0
22228,715,5.0
15797,521,5.0
1670,439,5.0
7605,362,5.0
22313,725,5.0
22332,220,5.0
18324,810,4.0
22385,791,5.0
19948,714,5.0
22432,651,3.0
22457,864,5.0
